product_id,category_id
23d546b8-d670-4b5a-b5a5-7727a7f5db15,76773547-d354-4c80-bb9d-fb13deb0e10e
8d2b1bd6-374d-4c57-8e6c-c2cc61d73d5c,76773547-d354-4c80-bb9d-fb13deb0e10e
8d2b1bd6-374d-4c57-8e6c-c2cc61d73d5c,63acb712-ed4e-4398-9d64-4738492a8275
9cdd4464-e3ca-49ec-b5a7-16912c5f29bc,63acb712-ed4e-4398-9d64-4738492a8275
9cdd4464-e3ca-49ec-b5a7-16912c5f29bc,76773547-d354-4c80-bb9d-fb13deb0e10e
c5ee8450-50da-4d62-a0ff-cb2c24964df4,76773547-d354-4c80-bb9d-fb13deb0e10e
c5ee8450-50da-4d62-a0ff-cb2c24964df4,63acb712-ed4e-4398-9d64-4738492a8275
db532e2c-cefe-4aa0-85c5-f4a7762dd252,76773547-d354-4c80-bb9d-fb13deb0e10e
c9058dbd-0c9f-4c09-9b9e-a4faa97b7286,76773547-d354-4c80-bb9d-fb13deb0e10e
c9058dbd-0c9f-4c09-9b9e-a4faa97b7286,8eb7864e-c24f-4189-9829-f65bab1eea2e
6c8156c0-c3e9-4150-babb-7254977aaf4e,76773547-d354-4c80-bb9d-fb13deb0e10e
6c8156c0-c3e9-4150-babb-7254977aaf4e,63acb712-ed4e-4398-9d64-4738492a8275
d3b4111d-0996-422f-ab12-4fa230d79253,76773547-d354-4c80-bb9d-fb13deb0e10e
d34e3532-bd52-44d5-80e6-59ff6f9d9247,76773547-d354-4c80-bb9d-fb13deb0e10e
ad82f730-4123-45f5-ad1d-d6fd0eea3d5b,8eb7864e-c24f-4189-9829-f65bab1eea2e
ad82f730-4123-45f5-ad1d-d6fd0eea3d5b,76773547-d354-4c80-bb9d-fb13deb0e10e
1eee735e-8c9b-491c-9763-ce48319aa89a,76773547-d354-4c80-bb9d-fb13deb0e10e
e379694b-95cf-4a78-8357-6d086fbde46c,76773547-d354-4c80-bb9d-fb13deb0e10e
f9d75dc0-0b3c-4fdd-94ab-cdd0b72c8a59,76773547-d354-4c80-bb9d-fb13deb0e10e
fa6c4255-45b3-4d40-920d-6e1eec5ce7c7,76773547-d354-4c80-bb9d-fb13deb0e10e
fa6c4255-45b3-4d40-920d-6e1eec5ce7c7,63acb712-ed4e-4398-9d64-4738492a8275
